Code,State,2016Pop,2015,2016,2017
AL,Alabama,4863300,17,25,4
AK,Alaska,741894,4,7,2
AZ,Arizona,6931071,42,50,14
AR,Arkansas,2988248,5,15,5
CA,California,39250017,189,138,67
CO,Colorado,5540545,29,31,7
CT,Connecticut,3576452,2,4,3
DE,Delaware,952065,3,1,4
DC,District of Columbia,681170,4,5,2
FL,Florida,20612439,60,60,21
GA,Georgia,10310371,29,26,11
HI,Hawaii,1428557,2,6,3
ID,Idaho,1683140,7,6,3
IL,Illinois,12801539,21,26,8
IN,Indiana,6633053,19,14,7
IA,Iowa,3134693,5,5,1
KS,Kansas,2907289,9,10,3
KY,Kentucky,4436974,16,18,9
LA,Louisiana,4681666,27,19,6
ME,Maine,1331479,2,2,6
MD,Maryland,6016447,15,15,6
MA,Massachusetts,6811779,9,12,0
MI,Michigan,9928300,16,13,6
MN,Minnesota,5519952,12,14,4
MS,Mississippi,2988726,8,8,3
MO,Missouri,6093000,21,21,13
MT,Montana,1042520,4,5,2
NE,Nebraska,1907116,8,7,0
NV,Nevada,2940058,19,14,4
NH,New Hampshire,1334795,3,2,0
NJ,New Jersey,8944469,15,12,8
NM,New Mexico,2081015,20,21,4
NY,New York,19745289,19,17,6
NC,North Carolina,10146788,23,33,11
ND,North Dakota,757952,1,1,2
OH,Ohio,11614373,29,26,17
OK,Oklahoma,3923561,32,26,12
OR,Oregon,4093465,15,15,5
PA,Pennsylvania,12784227,18,22,10
RI,Rhode Island,1056426,0,2,0
SC,South Carolina,4961119,19,17,5
SD,South Dakota,865454,3,4,2
TN,Tennessee,6651194,20,22,11
TX,Texas,27862596,98,82,33
UT,Utah,3051217,10,8,3
VT,Vermont,624594,1,2,0
VA,Virginia,8411808,18,17,6
WA,Washington,7288000,16,26,10
WV,West Virginia,1831102,10,12,4
WI,Wisconsin,5778708,11,17,9
WY,Wyoming,585501,6,2,0
